start,end,drawdown,start_fund,end_fund
2020-04-01,2020-06-17,-81.32015000000001,10.27325,9.73514999999998
2020-07-22,2020-07-23,-1.4602999999999966,58.52379999999998,59.91864999999998
2020-07-26,2020-07-26,,60.75379999999998,60.75379999999998
2020-09-15,2020-09-17,-0.8255999999999801,231.43484999999998,231.7773
2020-09-19,2020-09-22,-2.501650000000012,231.58505,231.15765
2020-09-25,2020-09-25,,232.5102,232.5102
2020-10-01,2020-10-22,-18.567650000000043,239.88479999999998,236.35659999999996
2020-12-09,2020-12-10,-0.5940000000000509,599.9924000000002,599.7531500000002
2020-12-12,2020-12-16,-7.168000000000006,597.4207000000002,598.8253000000003
2021-05-20,2021-05-28,-9.734899999999925,2191.568499999999,2200.146749999999
2021-06-01,2021-06-05,-6.175150000000031,2197.796949999999,2203.898099999999
2021-06-08,2021-08-17,-35.984699999999975,2206.466199999999,2205.665749999999
2021-08-23,2021-08-24,-0.738800000000083,2215.321249999999,2215.6810499999992
2021-09-06,2021-09-08,-6.028299999999945,2262.1336499999993,2267.8753999999994
2021-09-15,2021-10-07,-10.601650000000518,2277.17955,2271.860549999999
2022-01-26,2022-02-19,-12.258100000000013,2656.615149999999,2657.727799999999
2022-02-22,2022-03-08,-5.940000000000055,2659.3580499999994,2659.743999999999
2022-03-11,2022-03-11,,2662.1664999999985,2662.1664999999985
2022-03-24,2022-03-31,-4.6754000000000815,2673.8787999999986,2672.867049999998
2022-04-12,2022-04-13,-0.24384999999983847,2687.458399999998,2687.0946999999983
2022-04-18,2022-04-18,,2690.0958499999983,2690.0958499999983
2022-04-21,2022-04-28,-2.454899999999725,2690.787999999998,2690.3560499999985
2022-04-30,2022-04-30,,2691.1906499999986,2691.1906499999986
2022-05-06,2022-05-06,,2696.9118499999986,2696.9118499999986
2022-05-12,2022-05-26,-6.675150000000031,2700.9695499999984,2702.9424999999987
2022-06-03,2022-06-04,-1.0713000000000648,2709.3268999999987,2710.358249999999
2022-06-16,2022-06-17,-0.5620499999999993,2719.0192999999995,2718.7718999999993
2022-06-19,2022-06-20,-0.4760000000001128,2719.795899999999,2719.978699999999
2022-06-23,2022-06-23,,2721.9214999999995,2721.9214999999995
2022-06-28,2022-06-28,,2725.146349999999,2725.146349999999
2022-07-01,2022-07-04,-1.2152000000000953,2725.514899999999,2726.572149999999
2022-07-08,2022-07-08,,2729.445099999999,2729.445099999999
2022-08-03,2022-08-04,-0.18795000000000073,2760.7740999999996,2760.8215499999997
2022-08-08,2022-08-08,,2763.683649999999,2763.683649999999
2022-08-20,2022-08-31,-3.1017500000002656,2778.847749999999,2778.9395499999987
2022-09-    5,-2.555199999999786,2786.561899999999,2786.962549999999
2022-09-22,2022-09-24,-0.6294499999999061,2790.559849999999,2791.1556499999992
2022-09-27,2022-09-29,-0.6243500000000495,2792.033749999999,2792.234449999999
2022-10-04,2022-10-05,-0.5748499999999694,2796.6085999999987,2796.6782499999986
2022-10-22,2022-10-23,-0.30265000000008513,2814.203899999998,2814.416699999998
2022-10-25,2022-11-02,-2.256050000000414,2814.7123499999975,2814.3561499999973
2022-11-04,2022-11-06,-1.671350000000075,2814.120149999997,2813.485699999997
2022-11-09,2023-02-17,-65.26264999999967,2814.7323499999966,2815.4864999999972
2023-04-01,2023-04-01,,2866.601349999997,2866.601349999997
2023-04-04,2023-04-04,,2867.7860499999974,2867.7860499999974
2023-04-10,2023-04-10,,2871.0404499999977,2871.0404499999977
2023-04-30,2023-04-30,,2894.2709499999964,2894.2709499999964
2023-05-28,2023-05-28,,2920.3676999999966,2920.3676999999966
2023-06-21,2023-06-21,,2946.561849999997,2946.561849999997
2023-08-19,2023-08-19,,3010.8627499999943,3010.8627499999943
2023-08-21,2023-08-22,-0.259349999999813,3011.2429499999944,3010.9992499999944
2023-08-26,2023-08-26,,3012.2336499999947,3012.2336499999947
2023-09-13,2023-09-14,-0.06714999999985594,3022.134699999995,3022.027499999995
2023-09-16,2023-09-16,,3022.3820999999953,3022.3820999999953
2023-09-27,2023-09-29,-0.15895000000000437,3026.923649999996,3027.004599999996
2023-10-02,2023-10-02,,3029.248249999996,3029.248249999996
2023-10-08,2023-10-09,-0.3337499999997817,3033.1949999999965,3032.9295499999967
2024-04-18,2024-04-18,,3524.3200999999954,3524.3200999999954
2024-04-20,2024-04-20,,3524.8252999999954,3524.8252999999954
2024-04-23,2024-04-23,,3525.3465999999953,3525.3465999999953
2024-05-03,2024-05-05,-1.6659500000000662,3530.6876999999954,3531.1905499999957
