start,end,drawdown,start_fund,end_fund
2021-01-20,2021-01-20,,247.4641406249994,247.4641406249994
2021-01-22,2021-01-22,,251.2877624999994,251.2877624999994
2021-01-27,2021-01-28,-1.1537510869566177,260.0281580039518,259.7796173789518
2021-04-18,2021-04-21,-2.8960977272727177,935.7894237860972,937.9484336463457
2021-04-23,2021-04-30,-5.31404859015322,939.8698790267806,942.5915651100202
2021-06-08,2021-06-12,-1.3668652173912506,1033.8413307676178,1034.1499980518042
2021-06-16,2021-08-22,-51.46913552590661,1034.9097617426364,1034.959769792993
2021-09-07,2021-09-10,-1.460175000000163,1080.8233968565569,1081.903734356557
2021-09-20,2021-10-03,-2.2802337429416184,1086.792500124194,1086.8708527506674
2021-11-16,2021-12-08,-5.664035516942249,1258.4522574672812,1258.7306610807736
2021-12-17,2021-12-19,-0.34220249999998487,1266.8460873099934,1267.0465766281752
2022-01-11,2022-05-21,-16.173158525628196,1297.8612685208197,1297.7479924187455
2022-06-01,2022-06-01,,1308.6806935365453,1308.6806935365453
2022-06-07,2022-06-09,-0.5994674999999461,1314.5993751215597,1315.0232982833243
2022-06-12,2022-08-02,-22.764996797360027,1316.0231390638671,1316.033524519302
2022-08-10,2022-08-11,-0.1661624999999276,1317.46375754128,1317.46375754128
2022-08-19,2023-08-01,-155.6276554278213,1324.2585100412798,1324.4433461420913
2023-08-17,2023-09-06,-4.963935780502652,1372.1389347149313,1375.7308201138044
2023-09-10,2023-09-10,,1377.0701644072826,1377.0701644072826
2023-09-17,2023-09-17,,1378.6315144072826,1378.6315144072826
2023-09-24,2023-09-24,,1380.0482750051085,1380.0482750051085
2023-10-19,2023-10-19,,1418.8876558086793,1418.8876558086793
2023-11-18,2023-11-18,,1519.031781660421,1519.031781660421
2023-11-21,2023-11-21,,1519.8049950126938,1519.8049950126938
2024-01-13,2024-01-14,-0.2927700000000186,1706.2513151514684,1706.3273856060139
2024-04-17,2024-05-15,-15.720073237670476,2037.7537577651024,2029.12554757091
