start,end,drawdown,start_fund,end_fund
2021-08-27,2021-08-27,,8.31701249999999,8.31701249999999
2021-08-29,2021-08-29,,9.760874999999986,9.760874999999986
2021-09-08,2021-09-09,-0.5304749999999991,22.173862499999974,22.119899999999973
2021-09-15,2021-09-17,-1.0184999999999995,24.214649999999967,25.153687499999958
2021-09-19,2021-10-06,-7.707824999999982,25.243649999999956,21.960487499999957
2021-11-27,2021-11-27,,107.82209999999989,107.82209999999989
2021-12-04,2021-12-23,-2.760450000000006,116.01824999999991,116.73086249999992
2021-12-29,2021-12-30,-0.13837499999999636,119.71098749999992,119.28697499999991
2022-01-08,2022-01-08,,122.13209999999991,122.13209999999991
2022-01-11,2022-01-16,-1.0660124999999994,122.6132624999999,122.68983749999991
2022-01-21,2022-02-11,-1.3859624999999767,124.13129999999991,124.26599999999992
2022-02-13,2022-02-13,,124.7149874999999,124.7149874999999
2022-02-15,2022-02-15,,125.2429499999999,125.2429499999999
2022-02-18,2022-02-18,,125.9798624999999,125.9798624999999
2022-02-20,2022-03-08,-2.16904543003686,126.0359999999999,125.75050725293204
2022-03-10,2022-03-14,-0.8425293160222509,126.17690626138679,126.59439643965743
2022-03-21,2022-04-09,-3.260968341370088,129.2711267751618,129.44967644508483
2022-04-12,2022-04-16,-0.988185799026013,129.69716999427783,130.1738954952438
2022-04-18,2022-05-02,-2.946360792484157,129.9945044917477,129.7501076284503
2022-05-07,2022-05-07,,132.96575659285043,132.96575659285043
2022-05-11,2022-08-05,-11.155225452688924,135.277535611918,134.4618506188236
2022-08-11,2022-09-22,-4.32998530907696,137.84235497390725,137.96047996598767
2022-10-17,2022-10-17,,146.9876933995229,146.9876933995229
2022-11-09,2022-12-29,-6.245511858660365,153.165220392652,154.0684202533326
2023-01-02,2023-01-05,-0.7795804039256495,156.66586949158707,156.6506797890508
2023-01-11,2023-01-11,,158.46854701317355,158.46854701317355
2023-01-13,2023-01-13,,158.48991948570205,158.48991948570205
2023-01-17,2023-01-20,-0.27736784229074374,163.67622403160829,163.8440726769894
2023-01-31,2023-01-31,,169.3054350053462,169.3054350053462
2023-02-11,2023-02-12,-0.29593914596924265,175.93436616074274,175.6397613851856
2023-02-15,2023-02-15,,175.7833235200161,175.7833235200161
2023-02-26,2023-02-28,-0.33234546414524857,182.23493998282896,182.5108791809376
2023-03-03,2023-03-13,-2.0441823507873664,183.7283535107421,182.88756285602085
2023-03-16,2023-04-01,-1.414383310151237,187.31576570034548,187.47746942354573
2023-04-03,2023-04-04,-0.027984493793240972,187.7918090324361,187.4721511023636
2023-04-06,2023-04-07,-0.23481787982811397,187.67223973481387,187.67376605322212
2023-04-11,2023-04-13,-0.4584262818749778,187.8761526038774,187.69747469746565
2023-04-18,2023-04-20,-0.5600927854278837,190.85516006700513,190.588368597823
2023-04-26,2023-04-30,-0.45992052622199253,191.84454339698874,192.20998469098674
2023-05-07,2023-05-10,-0.2098038788227541,196.04576437454426,195.88322739209914
2023-05-19,2023-05-19,,198.1518638546748,198.1518638546748
2023-05-30,2023-05-30,,201.4879210013564,201.4879210013564
2023-06-06,2023-06-06,,203.79321786241866,203.79321786241866
2023-06-10,2023-06-10,,204.2290410238705,204.2290410238705
2023-06-15,2023-06-21,-0.5193200860357479,205.03549696923514,204.93654033751864
2023-07-15,2023-07-16,-0.13267140655798926,217.74178810762268,217.72605796642418
2023-07-27,2023-07-27,,220.9123973922618,220.9123973922618
2023-08-08,2023-08-08,,228.26626769345316,228.26626769345316
2023-08-18,2023-08-30,-1.1093880894150345,232.82867993428152,232.61630131388537
2023-09-03,2023-09-03,,233.47951485962162,233.47951485962162
2023-09-06,2023-09-06,,233.63559350836374,233.63559350836374
2023-09-08,2023-09-09,-0.1801416435701242,233.7312480558205,233.8389758668386
2023-09-15,2023-09-15,,235.0662743961205,235.0662743961205
2023-09-17,2023-10-23,-2.9830754087122386,235.1357360356476,234.6929365892234
2024-01-05,2024-01-07,-0.1560645271008525,325.22452139677875,325.013658744471
2024-01-26,2024-01-26,,335.61394244234623,335.61394244234623
2024-01-29,2024-01-29,,336.52365481873164,336.52365481873164
2024-04-13,2024-04-17,-0.6916758962793779,471.1703468085435,471.05554225832884
2024-04-21,2024-04-21,,471.6170077140138,471.6170077140138
2024-04-23,2024-04-23,,471.6063707392627,471.6063707392627
2024-04-29,2024-04-29,,472.9059697223006,472.9059697223006
2024-05-02,2024-05-07,-0.6249643661925006,473.4283063619913,473.14490093024995
2024-05-09,2024-05-09,,473.50166641925057,473.50166641925057
2024-05-11,2024-05-12,-0.1415241660337756,473.5187598596564,473.30965417533855
2024-05-14,2024-05-15,-0.05847770708999178,473.6252026681511,473.5667170021893
